PCID	Name	Manufacturer	URL	Source	CompositionInfo	ManufacturerInfo	ImportantInfo	ObservationsInitial	Oil?	Oil2?	ObservationsColourTranslucency	Opacity	Resistance	Stringiness	ObservationsGrinding	Details	Shape	Scratching	Smoothness	Impasto	Grittiness	ObservationsApplication	ColourIntensity	Glossiness	HidingPower	TintingStrength	ObservationsMixingLW	ObservationsApplicationLW	ObservationsDrying	DryingSpeed	DryOn	ObservationsWrinkling	HistoricalReferences	OtherPigmentCheckers	PigmentSampled		
1A1	Bone Black	47100	https://www.kremer-pigmente.com/en/pigments/pigments-of-modern-age/carbonic-blackening/1553/bone-black?number=47100	UvA	made of bones	"made of bones. Pigment Black 9, C.I. 77267"		"Seemed super fine, so agglomeration particles that split when touching. But when grinding it felt pretty coarse"	23	0.8	Deep black	5	5	3	Very high resistance but quick improvement noticeable 	4	4	5	3	5	2		5	4	4	5	Not really any change	Felt easier to apply without the lead white			Dry	Glossy		HSI / CHS	Y. TAH stock empty		
1A2	Lamp black	47250	https://www.kremer-pigmente.com/en/pigments/pigments-of-modern-age/carbonic-blackening/1558/furnace-black?number=47250	UvA	amorphous carbon black	"Slow drier, light-weight powder. Amorphous carbon black. Pigment Black 7, C.I. 77266"		Dark and a little bit fine with agglomeration particles that split when touching	25	1.2	"Deep black, like a blackboard, little dull"	5	1	1	very smooth	4	5	5	3	5	1	"The paint is very smooth, it could be difficult to applied it thinly. "	2	2	5	3	Not really any change	Felt easier to apply without the lead white			Can be scraped			CHS	Y		
1A3	"Burnt sticklac ""As beautiful as ivory black"""	Made by TAH students				TAH		"De Mayerne(?) f29r ""as beautiful as ivory black). Burnt sticklac , made 20,21,22-02-2018"		Extremely fine powder. Some lustre	15	0.4	"Brownish tint, fairly dull"	4	2	1	Doesn't need much oil. Makes a gritty sound like grinding glass/smalt	5	5	5	3	5	3	Agglomerations	3	1	4	3	Can still hear the crunch but it is smoother. Mixes pretty easily. The paint looks almost metallic grey	Easier/smoother. Difficult to paint lightly	Hiding power increased slightly		Tacky	Tacky even though the paint looks dry 			Y
1A4	Vine black	47000	https://www.kremer-pigmente.com/en/pigments/pigments-of-modern-age/carbonic-blackening/1551/vine-black-german?number=47000	UvA	pure plant black	"Pigment Black 8, C.I. 77268"		Super fine with agglomerations	23	0.8	Deep black	4	2	3	Fairly smooth 	4	4		3	4	2		4	2	3	3	More supple and smooth. Doesn't mix easily 	Somewhat less gritty			Wet	Paint looks dry and matte even though it is not actually dry		HSI / CHS 	Y		
1A5	"Ivory black, genuine"	12000	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/198/ivory-black-genuine?number=12000	UvA	genuine carbon of ivory	"own production. Genuine carbon of ivory: C, Ca3(PO4)2. Pigment Black 9"		"very fine . powder, intensely coloured"	40	1.7	Deep black	5	4		"very absorbant, little bit course, long grinding time, stayed very thick"	4	5	5	3	5	2	very difficult to paint thinly	5	4	5	5	"same consistency, little bit more flow"	easier to paint thinly			Dry	Glossy		C2RMF	Y		
1A6	Charcoal from beech	47800	http://www.kremer-pigmente.com/en/pigments/pigments-of-modern-age/carbonic-blackening/1582/charcoal	TAH	Charcoal powder made from beech (Fagus sylvatica)	PBk 8.77268	Started with 5 ml pigment and used 70 drops. The drop count to the right is normalised to 2 ml pigment		28		opaque intense black	4	2	1	a bit gritty				2		4	rather lean and grainy	4	2	4	3		smoother with lead white			Dry	Matte		C2RMF 12100 = bistre	Y		
1C1	Black chalk	"Source uncertain. Most likely Kremer, purchased ±2009"	https://shop.kremerpigments.com/en/pigments/kremer-made-and-historic-pigments/4608/black-drawing-chalk-pieces-30-80-g	TAH	carbonaceous shale?	Crushed to a powder from large stone			12 / 1 ml	1	intense black 	5	3	1	started gritty but became smooth	4	4	4	4	2	3	"Esay to paint an opaque even layer, even thinly"	5	3	5	5	very nice consistency	"smooth consistency, very opaque"		applied on 06-08-18		18-08-18: dry around edges but still glossy in the middle			Y		
1B1	Lead white (tube)	"Rublev lead white #1 in linseed oil, Natural Pigments. 820-802"	https://www.naturalpigments.com/lead-white-oil-paint.html	TAH	see web link Colour Index: Pigment White 1 (77597)  Chemical Name: Basic lead carbonate or Lead(II) carbonate basic  Chemical Formula: 2PbCO3.Pb(OH)2  CAS No. 1319-46-6	"Lead White (also known as flake white or Cremnitz white) is an opaque white that is smooth and brushes long in the direction of the brushstroke. The consistency straight out of the tube is creamy, slightly ropey yet retains its shape as you manipulate it while being soft yet sculptural. Our lead white is made with pale linseed oil and basic lead carbonate (made according to modern processes) without stabilizers (e.g. stearates, waxes, etc.) or fillers to alter the characteristics of the pigment. As a result you get higher pigment volume concentration (PVC) than other brands of lead white (flake white)—as high as 50%. This means most brands of flake white do not weigh nearly as much as Rublev Colours 50 ml tube. Yet, Rublev Colours Lead White is not overly stiff and mixes well with all other oil colors."	"In tubes. Handle with caution! Info from Annelies van Loon 2021: ""Voor een MAXRF test set hebben we ook Stack process lead white van Natural Pigments gebruikt, en met XRPD gemeten: c.98% hydrocerussiet en c.2% cerussiet."""	"Squares left and right are the same, since I didn't add any more lead white to the right side"	NA (in tube)	NA (in tube)	NA (used from tube)	NA	NA	NA	NA		5		2	5	1	difficult to spread thinly on left side of square	1	4	4	NA	NA	NA	NA		Dry	Yellowish		CHS	Y		
1B2	"Lead white, stack process, Arie Wallert 1989"	"Arie Wallert, 1989"		TAH					15	1	rather translucent	3	1	3		5	5	5	3	3	4	large particles		3	3	NA	NA	NA	NA		Dry	Has imbibed dust			Y		
1B3	"Lead white, barrel in chemical storage RMA"	"Note on lid of barrel, June 2012 Jolanda. ""Op het deksel lag géén loodwit maar titanium wit en Ca poeder. Zie zakje met testmonster XRF."""		RMA		"Info from Annelies van Loon, 2021: Voor een MAXRF test set hebben we de lead white, barrel in chemical storage RMA gemeten als los poeder: behalve hydrocerussiet en cerussiet, zat er veel Ca bij, wsl in de vorm van een Pb-Ca verbinding, wat je niet verwacht in een historisch loodwit pigment, dus er was iets raars met dit pigment. "	Might not be lead white! Mioght be titanium white + Ca.		15	1	rather translucent	2	1	3		5	4	5	4	3	1			5	3	NA	NA	NA	NA		Dry	Glossy and smooth			Y		
